日期,收盘,开盘,高,低,交易量,涨跌幅
2014/12/31,"3,000.00","3,000.00","3,000.00","3,000.00",0,
2015/1/2,"3,006.61","3,006.61","3,006.61","3,006.61",0,0.22%
2015/1/5,"3,007.64","3,007.64","3,007.64","3,007.64",0,0.03%
2015/1/6,"3,002.18","3,002.18","3,002.18","3,002.18",0,-0.18%
2015/1/7,"3,024.34","3,024.34","3,024.34","3,024.34",0,0.74%
2015/1/8,"3,052.52","3,052.52","3,052.52","3,052.52",0,0.93%
2015/1/9,"3,063.38","3,063.38","3,063.38","3,063.38",0,0.36%
2015/1/12,"3,047.07","3,047.07","3,047.07","3,047.07",0,-0.53%
2015/1/13,"3,053.30","3,053.30","3,053.30","3,053.30",0,0.20%
2015/1/14,"3,056.21","3,056.21","3,056.21","3,056.21",0,0.10%
2015/1/15,"3,065.58","3,065.58","3,065.58","3,065.58",0,0.31%
2015/1/16,"3,031.14","3,031.14","3,031.14","3,031.14",0,-1.12%
2015/1/19,"2,988.56","2,988.56","2,988.56","2,988.56",0,-1.40%
2015/1/20,"3,001.73","3,001.73","3,001.73","3,001.73",0,0.44%
2015/1/21,"3,046.01","3,046.01","3,046.01","3,046.01",0,1.48%
2015/1/22,"3,023.55","3,023.55","3,023.55","3,023.55",0,-0.74%
2015/1/23,"3,041.28","3,041.28","3,041.28","3,041.28",0,0.59%
2015/1/26,"3,080.96","3,080.96","3,080.96","3,080.96",0,1.30%
2015/1/27,"3,087.11","3,087.11","3,087.11","3,087.11",0,0.20%
2015/1/28,"3,128.68","3,128.68","3,128.68","3,128.68",0,1.35%
2015/1/29,"3,095.40","3,095.40","3,095.40","3,095.40",0,-1.06%
2015/1/30,"3,059.80","3,059.80","3,059.80","3,059.80",0,-1.15%
2015/2/2,"3,039.75","3,039.75","3,039.75","3,039.75",0,-0.66%
2015/2/3,"3,098.28","3,098.28","3,098.28","3,098.28",0,1.93%
2015/2/4,"3,128.76","3,128.76","3,128.76","3,128.76",0,0.98%
2015/2/5,"3,104.84","3,104.84","3,104.84","3,104.84",0,-0.76%
2015/2/6,"3,103.54","3,103.54","3,103.54","3,103.54",0,-0.04%
2015/2/9,"3,075.58","3,075.58","3,075.58","3,075.58",0,-0.90%
2015/2/10,"3,077.02","3,077.02","3,077.02","3,077.02",0,0.05%
2015/2/11,"3,081.60","3,081.60","3,081.60","3,081.60",0,0.15%
2015/2/12,"3,093.91","3,093.91","3,093.91","3,093.91",0,0.40%
2015/2/13,"3,122.64","3,122.64","3,122.64","3,122.64",0,0.93%
2015/2/16,"3,149.18","3,149.18","3,149.18","3,149.18",0,0.85%
2015/2/17,"3,146.67","3,146.67","3,146.67","3,146.67",0,-0.08%
2015/2/18,"3,122.04","3,122.04","3,122.04","3,122.04",0,-0.78%
2015/2/23,"3,164.48","3,164.48","3,164.48","3,164.48",0,1.36%
2015/2/24,"3,171.66","3,171.66","3,171.66","3,171.66",0,0.23%
2015/2/25,"3,191.71","3,191.71","3,191.71","3,191.71",0,0.63%
2015/2/26,"3,194.79","3,194.79","3,194.79","3,194.79",0,0.10%
2015/2/27,"3,201.06","3,201.06","3,201.06","3,201.06",0,0.20%
2015/3/2,"3,210.65","3,210.65","3,210.65","3,210.65",0,0.30%
2015/3/3,"3,194.35","3,194.35","3,194.35","3,194.35",0,-0.51%
2015/3/4,"3,224.50","3,224.50","3,224.50","3,224.50",0,0.94%
2015/3/5,"3,215.44","3,215.44","3,215.44","3,215.44",0,-0.28%
2015/3/6,"3,292.83","3,292.83","3,292.83","3,292.83",0,2.41%
2015/3/9,"3,289.42","3,289.42","3,289.42","3,289.42",0,-0.10%
2015/3/10,"3,249.02","3,249.02","3,249.02","3,249.02",0,-1.23%
2015/3/11,"3,234.76","3,234.76","3,234.76","3,234.76",0,-0.44%
2015/3/12,"3,254.53","3,254.53","3,254.53","3,254.53",0,0.61%
2015/3/13,"3,216.76","3,216.76","3,216.76","3,216.76",0,-1.16%
2015/3/16,"3,256.91","3,256.91","3,256.91","3,256.91",0,1.25%
2015/3/17,"3,258.64","3,258.64","3,258.64","3,258.64",0,0.05%
2015/3/18,"3,263.04","3,263.04","3,263.04","3,263.04",0,0.14%
2015/3/19,"3,302.89","3,302.89","3,302.89","3,302.89",0,1.22%
2015/3/20,"3,378.42","3,378.42","3,378.42","3,378.42",0,2.29%
2015/3/23,"3,430.30","3,430.30","3,430.30","3,430.30",0,1.54%
2015/3/24,"3,465.76","3,465.76","3,465.76","3,465.76",0,1.03%
2015/3/25,"3,480.32","3,480.32","3,480.32","3,480.32",0,0.42%
2015/3/26,"3,456.42","3,456.42","3,456.42","3,456.42",0,-0.69%
2015/3/27,"3,411.04","3,411.04","3,411.04","3,411.04",0,-1.31%
2015/3/30,"3,550.30","3,550.30","3,550.30","3,550.30",0,4.08%
2015/3/31,"3,575.44","3,575.44","3,575.44","3,575.44",0,0.71%
2015/4/1,"3,637.20","3,637.20","3,637.20","3,637.20",0,1.73%
2015/4/2,"3,725.83","3,725.83","3,725.83","3,725.83",0,2.44%
2015/4/8,"4,129.48","4,129.48","4,129.48","4,129.48",0,10.83%
2015/4/9,"4,195.45","4,195.45","4,195.45","4,195.45",0,1.60%
2015/4/10,"4,228.74","4,228.74","4,228.74","4,228.74",0,0.79%
2015/4/13,"4,347.38","4,347.38","4,347.38","4,347.38",0,2.81%
2015/4/14,"4,195.00","4,195.00","4,195.00","4,195.00",0,-3.51%
2015/4/15,"4,404.19","4,404.19","4,404.19","4,404.19",0,4.99%
2015/4/16,"4,410.75","4,410.75","4,410.75","4,410.75",0,0.15%
2015/4/17,"4,227.24","4,227.24","4,227.24","4,227.24",0,-4.16%
2015/4/20,"4,141.12","4,141.12","4,141.12","4,141.12",0,-2.04%
2015/4/21,"4,342.58","4,342.58","4,342.58","4,342.58",0,4.86%
2015/4/22,"4,503.27","4,503.27","4,503.27","4,503.27",0,3.70%
2015/4/23,"4,452.65","4,452.65","4,452.65","4,452.65",0,-1.12%
2015/4/24,"4,441.26","4,441.26","4,441.26","4,441.26",0,-0.26%
2015/4/27,"4,491.02","4,491.02","4,491.02","4,491.02",0,1.12%
2015/4/28,"4,480.37","4,480.37","4,480.37","4,480.37",0,-0.24%
2015/4/29,"4,525.78","4,525.78","4,525.78","4,525.78",0,1.01%
2015/4/30,"4,477.89","4,477.89","4,477.89","4,477.89",0,-1.06%
2015/5/4,"4,449.32","4,449.32","4,449.32","4,449.32",0,-0.64%
2015/5/5,"4,389.89","4,389.89","4,389.89","4,389.89",0,-1.34%
2015/5/6,"4,290.09","4,290.09","4,290.09","4,290.09",0,-2.27%
2015/5/7,"4,164.95","4,164.95","4,164.95","4,164.95",0,-2.92%
2015/5/8,"4,358.88","4,358.88","4,358.88","4,358.88",0,4.66%
2015/5/11,"4,481.27","4,481.27","4,481.27","4,481.27",0,2.81%
2015/5/12,"4,370.54","4,370.54","4,370.54","4,370.54",0,-2.47%
2015/5/13,"4,503.60","4,503.60","4,503.60","4,503.60",0,3.04%
2015/5/14,"4,537.44","4,537.44","4,537.44","4,537.44",0,0.75%
2015/5/15,"4,560.69","4,560.69","4,560.69","4,560.69",0,0.51%
2015/5/18,"4,662.76","4,662.76","4,662.76","4,662.76",0,2.24%
2015/5/19,"4,691.97","4,691.97","4,691.97","4,691.97",0,0.63%
2015/5/20,"4,719.87","4,719.87","4,719.87","4,719.87",0,0.59%
2015/5/21,"4,635.55","4,635.55","4,635.55","4,635.55",0,-1.79%
2015/5/22,"4,610.49","4,610.49","4,610.49","4,610.49",0,-0.54%
2015/5/26,"4,715.23","4,715.23","4,715.23","4,715.23",0,2.27%
2015/5/27,"4,656.84","4,656.84","4,656.84","4,656.84",0,-1.24%
2015/5/28,"4,582.42","4,582.42","4,582.42","4,582.42",0,-1.60%
2015/5/29,"4,655.64","4,655.64","4,655.64","4,655.64",0,1.60%
2015/6/1,"4,717.96","4,717.96","4,717.96","4,717.96",0,1.34%
2015/6/2,"4,661.94","4,661.94","4,661.94","4,661.94",0,-1.19%
2015/6/3,"4,582.60","4,582.60","4,582.60","4,582.60",0,-1.70%
